prod_id,prod_id
0594451647,0594451647
0594481813,0594481813
0970407998,0970407998
0972683275,0972683275
1400501466,1400501466
1400501520,1400501520
1400501776,1400501776
1400532620,1400532620
1400532655,1400532655
140053271X,140053271X
1400599997,1400599997
1400698987,1400698987
1400699169,1400699169
1685560148,1685560148
3744295508,3744295508
7562434166,7562434166
787988002X,787988002X
8862935307,8862935307
8862936826,8862936826
9043413585,9043413585
9573212900,9573212900
9573212919,9573212919
9575871979,9575871979
9800359788,9800359788
9981719005,9981719005
9981734241,9981734241
9981739588,9981739588
9983722615,9983722615
998376234X,998376234X
9983891212,9983891212
9984922626,9984922626
9984984362,9984984362
9985511298,9985511298
9985511476,9985511476
9985525264,9985525264
9985696999,9985696999
9989360391,9989360391
B000000O48,B000000O48
B000001OKH,B000001OKH
B000001OL6,B000001OL6
B000001OM4,B000001OM4
B000001OM5,B000001OM5
B000001OMI,B000001OMI
B000001OMN,B000001OMN
B000001OMZ,B000001OMZ
B000001ON0,B000001ON0
B000001ON6,B000001ON6
B000006OQ8,B000006OQ8
B00000DM9M,B00000DM9M
B00000DM9W,B00000DM9W
B00000IGBF,B00000IGBF
B00000J03B,B00000J03B
B00000J040,B00000J040
B00000J05A,B00000J05A
B00000J061,B00000J061
B00000J08C,B00000J08C
B00000J08Q,B00000J08Q
B00000J0A2,B00000J0A2
B00000J0E8,B00000J0E8
B00000J0GF,B00000J0GF
B00000J1AG,B00000J1AG
B00000J1E6,B00000J1E6
B00000J1EP,B00000J1EP
B00000J1EQ,B00000J1EQ
B00000J1F3,B00000J1F3
B00000J1G6,B00000J1G6
B00000J1P1,B00000J1P1
B00000J1QR,B00000J1QR
B00000J1QS,B00000J1QS
B00000J1SC,B00000J1SC
B00000J1TX,B00000J1TX
B00000J1U8,B00000J1U8
B00000J1UA,B00000J1UA
B00000J1UB,B00000J1UB
B00000J1UQ,B00000J1UQ
B00000J1US,B00000J1US
B00000J1UU,B00000J1UU
B00000J1V1,B00000J1V1
B00000J1V3,B00000J1V3
B00000J1V5,B00000J1V5
B00000J1V7,B00000J1V7
B00000J1V8,B00000J1V8
B00000J3FU,B00000J3FU
B00000J3G3,B00000J3G3
B00000J3H5,B00000J3H5
B00000J3II,B00000J3II
